dataset,budget,method,count,mean_ndcg@10,std_ndcg@10,mean_mrr@10,std_mrr@10,mean_recall@100,std_recall@100,mean_latency_query_ms,mean_dense_weight,mean_ndcg_delta_vs_average_single,mean_mrr_delta_vs_average_single,mean_ndcg_regret_vs_best_single,mean_worst_case_regret_reduction,method_label
fiqa,200,minmax_fusion,7,0.35558122043950746,0.010783146623128372,0.42948303628656526,0.0130984070646881,0.702161259168385,0.010473600801533523,117.03763551698408,,0.055909969698857996,0.062477310797636555,0.00932546291167663,0.9291252817160128,Min-max fusion
fiqa,200,rrf,7,0.3480873498702051,0.01242479026972854,0.4204539456320929,0.016450963953202644,0.6944593185346494,0.011541189590478057,117.03763551698408,,0.04841609912955567,0.05344822014316416,0.016819333480978964,0.8711475693037227,RRF
fiqa,200,validation_weighted_fusion,7,0.3970100613763917,0.012693005342596698,0.4776769219168269,0.012811254747373876,0.7170852335087151,0.007787408479004325,117.03763551698408,0.9,0.0973388106357423,0.11067119642789816,-0.03210337802520767,1.2466649806969834,Validation-weighted fusion
fiqa,200,zscore_fusion,7,0.3505587130723268,0.010933743077108652,0.42264611307705974,0.013227351526024247,0.690783263789711,0.01011324568516145,117.03763551698408,,0.05088746233167735,0.05564038758813105,0.014347970278857283,0.8905576569850994,Z-score fusion
nfcorpus,20,bm25,7,0.30796960783436794,0.010635040073993327,0.519195281287118,0.01326416485841661,0.17654262706258925,0.009758782564637344,0.7949502941196851,,-0.004227167134095854,0.0027910052910052724,0.009172544486094074,0.14285714285714285,BM25
nfcorpus,20,dense,7,0.3164239421025596,0.01217407254042393,0.5136132707051074,0.01421137100977983,0.18922066578585636,0.011451747044057953,9.58392150155319,,0.004227167134095837,-0.0027910052910053123,0.0007182102179023835,0.8571428571428571,Dense
nfcorpus,20,minmax_fusion,7,0.3434103569600947,0.012141423436898292,0.5503312277291869,0.01099344491706583,0.20484239854065314,0.009348329755771384,10.378871795672875,,0.031213581991630896,0.033926951733074154,-0.026268204639632673,3.993818608685095,Min-max fusion
nfcorpus,20,rrf,7,0.34028531318310834,0.011853952026679175,0.5506125148472087,0.01038335890575698,0.21126304046842154,0.008998503680510727,10.378871795672875,,0.028088538214644545,0.03420823885109598,-0.023143160862646322,3.6491453874408912,RRF
nfcorpus,20,validation_weighted_fusion,7,0.33430421869208976,0.01117668942475765,0.547999406111651,0.013993410631438009,0.1986818776920615,0.007997588555100535,10.378871795672875,0.38571428571428573,0.022107443723625997,0.03159513011553826,-0.017162066371627777,3.0089084079012856,Validation-weighted fusion
nfcorpus,20,zscore_fusion,7,0.3378102116266589,0.01265673134646895,0.5444387755102041,0.013502165824702783,0.20631542219637342,0.008644439751704711,10.378871795672875,,0.025613436658195123,0.028034499514091347,-0.0206680593061969,3.351234614810359,Z-score fusion
nfcorpus,50,bm25,7,0.30796960783436794,0.010635040073993327,0.519195281287118,0.01326416485841661,0.20985039776167375,0.01064159922955513,0.7949502941196851,,-0.004227167134095854,0.0027910052910052724,0.009172544486094074,0.14285714285714285,BM25
nfcorpus,50,dense,7,0.3164239421025596,0.01217407254042393,0.5136132707051074,0.01421137100977983,0.24822734935852991,0.0127308314534018,9.58392150155319,,0.004227167134095837,-0.0027910052910053123,0.0007182102179023835,0.8571428571428571,Dense
nfcorpus,50,minmax_fusion,7,0.3410692430597532,0.012934723304694983,0.5497446280099342,0.012462362183359964,0.2613955107862818,0.009167852379450168,10.378871795672875,,0.028872468091289398,0.033340352013821385,-0.023927090739291175,3.6893259590028458,Min-max fusion
nfcorpus,50,rrf,7,0.3411560731915344,0.012753634396845964,0.5519922254616132,0.01123511151485574,0.2632886918475374,0.008822115463431085,10.378871795672875,,0.02895929822307064,0.035587949465500465,-0.02401392087107242,3.675988795344644,RRF
nfcorpus,50,validation_weighted_fusion,7,0.3389720821290365,0.010904552049372516,0.5522656840513983,0.013099624217782635,0.2521561793855665,0.009231439082418937,10.378871795672875,0.42857142857142855,0.02677530716057274,0.03586140805528559,-0.021829929808574518,3.4491463575030674,Validation-weighted fusion
nfcorpus,50,zscore_fusion,7,0.33838770006982877,0.012040729913402638,0.5452885757477594,0.01391944586851108,0.2610319195749319,0.01071752955388054,10.378871795672875,,0.026190925101365004,0.028884299751646667,-0.021245547749366784,3.388978851182763,Z-score fusion
nfcorpus,100,bm25,7,0.30796960783436794,0.010635040073993327,0.519195281287118,0.01326416485841661,0.2346478965201841,0.012488644595770638,0.7949502941196851,,-0.004227167134095854,0.0027910052910052724,0.009172544486094074,0.14285714285714285,BM25
nfcorpus,100,dense,7,0.3164239421025596,0.01217407254042393,0.5136132707051074,0.01421137100977983,0.3089385676443817,0.011130183815389421,9.58392150155319,,0.004227167134095837,-0.0027910052910053123,0.0007182102179023835,0.8571428571428571,Dense
nfcorpus,100,minmax_fusion,7,0.34517399685407507,0.012100007394895715,0.5529613432674657,0.010150673737635011,0.31920973960558335,0.009624832286020514,10.378871795672875,,0.03297722188561126,0.03655706727135296,-0.02803184453361304,4.17187614202022,Min-max fusion
